,Defeated,Not Confident,Rejected,Confused,Sad,Insecure,Fearful,Frustrated,Excluded,Weak,Scorned,Shunned,Unattractive,Hateful,Disgusted,Paranoid,Resentful,Vengeful,Enraged,Violent,I do not know
19338,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4531,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18911,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7910,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9767,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
10030,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7226,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
18886,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13993,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18886,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8091,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8452,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7733,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
16650,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
